Kingdom	ScientificName	ChineseName	Comment	DR22041504P	DR22041505P	DR22041506P	DR22041507C	DR22041508C	DR22041509B	DR22041510B	DR22041511B	DR22041512E	DR22041513E	DR22041514P	DR22041515B	DR22041516B	DR22041517B	DR22041518P	DR22041519P	DR22041520P	DR22041521P	DRzknc590	DRzknc591	DRzknc592
-	Type	-	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA
Bacteria	Streptococcus gwangjuense	链球菌属*	4/21	111.76	0	0	0	0	1576.77	0	0	0	0	0	0	0	1165.95	0	0	0	166.65	0	0	0
Bacteria	Pseudomonas jessenii	杰氏假单胞菌	3/21	0	0	0	856.55	735.22	0	0	0	0	613.89	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Methylobacterium platani	悬铃木甲基杆菌	7/21	625.85	1232.52	0	206.04	170.81	0	0	0	0	921.58	0	0	0	0	799.55	639.56	0	0	0	0	0
Bacteria	Comamonas aquatica	水生丛毛单胞菌	9/21	715.26	482.29	0	282.57	950.58	8.0	3174.6	0	0	732.81	0	0	0	0	319.82	572.24	0	0	0	0	0
Bacteria	Methylobacterium haplocladii	甲基杆菌属*	1/21	0	0	0	0	0	0	0	0	0	1165.35	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas thermotolerans	耐热假单胞菌	7/21	379.98	214.35	2247.19	941.91	816.91	0	3174.6	0	0	492.01	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas lini	亚麻假单胞菌	2/21	0	0	0	1024.33	0	0	0	0	0	646.59	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas laurylsulfatiphila	假单胞菌属*	2/21	0	0	0	956.63	0	0	0	0	0	677.81	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Methylobacterium currus	甲基杆菌属菌	11/21	558.8	1071.75	2247.19	282.57	267.35	0	0	2114.16	0	836.85	0	0	0	0	1039.42	504.91	0	0	0	1106.19	1135.07
Bacteria	Pseudomonas edaphica	假单胞菌属*	3/21	0	0	0	715.27	646.1	0	0	0	0	655.51	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Methylobacterium aquaticum	水甲杆菌	8/21	849.37	1286.1	2247.19	226.65	274.78	0	0	0	0	842.8	0	0	0	0	399.78	673.22	0	0	0	0	0
Bacteria	Clostridium tunisiense	芽胞梭菌属*	6/21	357.63	0	0	824.17	809.48	0	0	0	0	503.9	0	0	0	0	239.87	605.9	0	0	0	0	0
Bacteria	Methylobacterium crusticola	甲基杆菌属*	2/21	0	0	0	0	0	0	0	0	0	1131.17	0	0	0	0	319.82	0	0	0	0	0	0
Bacteria	Methylobacterium oxalidis	甲基杆菌属*	1/21	0	0	0	0	0	0	0	0	0	1134.14	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas cichorii	菊苣叶斑病假单胞菌	3/21	0	0	0	803.57	608.97	0	0	0	0	596.05	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Methylobacterium segetis	甲基杆菌属*	2/21	0	0	0	0	0	0	0	0	0	1119.27	0	0	0	0	0	33.66	0	0	0	0	0
Bacteria	Comamonas testosteroni	睾丸酮丛毛单胞菌	7/21	491.74	321.53	0	244.31	935.73	0	0	0	0	741.72	0	0	0	0	399.78	336.61	0	0	0	0	0
Bacteria	Comamonas badia	丛毛单胞菌属*	7/21	827.02	750.23	0	300.23	675.81	0	0	0	0	683.75	0	0	0	0	1039.42	639.56	0	0	0	0	0
Bacteria	Methylobacterium bullatum	甲基杆菌属*	5/21	0	107.18	0	23.55	37.13	2.0	0	0	0	1058.33	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas alkylphenolica	假单胞菌属菌	5/21	514.09	0	0	712.32	772.35	0	0	0	0	523.22	0	0	0	0	0	235.63	0	0	0	0	0
Bacteria	Neisseria macacae	恒河猴奈瑟氏球菌	3/21	0	0	0	0	0	1370.67	0	0	0	0	0	0	0	1846.09	0	0	0	1999.83	0	0	0
Bacteria	Methylobacterium nodulans	结瘤甲基杆菌	4/21	0	0	0	41.21	0	0	0	0	74.01	1053.87	0	0	0	0	79.96	0	0	0	0	0	0
Bacteria	Corynebacterium durum	硬质小麦棒杆菌	5/21	22.35	0	0	0	0	1092.53	0	0	0	234.85	0	0	0	0	0	67.32	0	749.94	0	0	0
Bacteria	Pseudomonas japonica	日本假单胞菌	4/21	0	0	0	715.27	675.81	0	0	0	0	545.52	0	0	0	0	0	302.95	0	0	0	0	0
Bacteria	Methylobacterium fujisawaense	藤泽甲基杆菌	4/21	0	0	0	5.89	22.28	0	0	1057.08	0	1044.95	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Comamonas serinivorans	丛毛单胞菌属菌	8/21	0	214.35	0	223.7	712.94	8.0	0	0	0	750.64	0	0	0	0	399.78	235.63	0	0	0	0	1135.07
Bacteria	Parabacteroides chartae	-	8/21	223.52	160.76	0	220.76	259.93	0	0	0	0	826.45	0	0	0	0	879.51	134.64	0	0	0	0	1135.07
Eukaryota:Fungi	Aspergillus cristatus	冠突曲霉	6/21	44.7	160.76	0	1548.27	1158.52	0	0	0	0	7.43	0	0	0	0	79.96	0	0	0	0	0	0
Bacteria	Methylorubrum rhodinum	-	2/21	0	0	0	67.7	0	0	0	0	0	994.42	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas kribbensis	假单胞菌	4/21	357.63	0	0	883.04	0	0	0	0	74.01	547.0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Comamonas kerstersii	凯斯特丛毛单胞菌	8/21	245.87	53.59	0	553.37	764.92	0	0	0	74.01	551.46	0	0	0	0	79.96	201.97	0	0	0	0	0
Bacteria	Pseudomonas ovata	假单胞菌属*	3/21	0	0	0	821.23	601.54	0	0	0	0	462.28	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Acinetobacter bereziniae	贝雷占不动杆菌	9/21	268.22	107.18	0	397.37	512.42	0	0	0	0	648.08	0	0	0	0	479.73	201.97	0	83.33	0	0	1135.07
Bacteria	Cupriavidus basilensis	巴塞尔贪铜菌	6/21	178.81	321.53	0	306.12	512.42	0	0	0	0	701.59	0	0	0	0	0	336.61	0	0	0	0	0
Bacteria	Pseudomonas syringae group genomosp. 3	假单胞菌属菌	3/21	0	0	0	741.76	527.28	0	0	0	0	499.44	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Methylobacterium brachythecii	甲基杆菌属*	1/21	0	0	0	0	0	0	0	0	0	978.06	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteus faecis	变形杆菌属*	7/21	0	964.58	0	1068.48	59.41	0	0	0	0	359.71	0	0	0	0	559.69	471.25	0	0	0	0	567.54
Bacteria	Sphingomonas jinjuensis	鞘氨醇单胞菌属*	9/21	983.48	1982.74	0	385.6	556.98	0	3174.6	0	0	462.28	5738.88	0	0	0	879.51	1245.46	0	0	0	0	0
Bacteria	Capnocytophaga gingivalis	牙龈嗜二氧化碳噬细胞菌	6/21	0	0	0	0	0	832.4	0	0	0	2.97	0	0	4694.84	21764.48	0	33.66	216.74	0	0	0	0
Bacteria	Methylobacterium phyllosphaerae	甲基杆菌属菌	8/21	22.35	107.18	0	14.72	29.71	0	0	1057.08	0	934.96	0	0	0	0	159.91	67.32	0	0	0	0	0
Bacteria	Methylorubrum zatmanii	-	1/21	0	0	0	0	0	0	0	0	0	951.31	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Sphingomonas taxi	鞘氨醇单胞菌	8/21	715.26	1661.22	0	353.22	512.42	0	0	0	0	511.33	0	0	0	0	1199.33	875.19	0	0	0	3318.58	0
Bacteria	Methylobacterium gossipiicola	甲基杆菌属*	2/21	0	0	0	8.83	0	0	0	0	0	945.36	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Cardiobacterium hominis	人心杆菌	4/21	0	0	0	5.89	0	1212.59	0	0	0	17.84	0	0	0	0	0	0	0	833.26	0	0	0
Bacteria	Prevotella baroniae	拜氏普雷沃氏菌	4/21	0	0	0	0	0	224.11	0	0	0	0	0	0	0	2040.42	0	0	26822.0	166.65	0	0	0
Bacteria	Haemophilus haemolyticus	溶血嗜血杆菌	3/21	0	0	0	0	22.28	1216.59	0	0	0	16.35	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas bohemica	假单胞菌属*	2/21	0	0	0	809.46	0	0	0	0	0	512.82	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Sphingomonas olei	鞘氨醇单胞菌属*	8/21	938.78	1554.04	0	397.37	393.6	0	0	0	0	457.82	0	0	0	0	799.55	1279.12	0	0	0	2212.39	0
