Kingdom	ScientificName	ChineseName	Comment	DR22041504P	DR22041505P	DR22041506P	DR22041507C	DR22041508C	DR22041509B	DR22041510B	DR22041511B	DR22041512E	DR22041513E	DR22041514P	DR22041515B	DR22041516B	DR22041517B	DR22041518P	DR22041519P	DR22041520P	DR22041521P	DRzknc590	DRzknc591	DRzknc592
-	-	Type	-	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA
Bacteria	Streptococcus koreensis	链球菌属*	6/21	0	0	1	1	0	7860	0	0	0	6	0	0	0	53	0	0	0	1	0	0	0
Eukaryota:Fungi	Candida albicans	白色念珠菌	3/21	0	0	0	0	0	0	0	0	0	0	0	203	2	0	0	0	0	7691	0	0	0
Bacteria	Pseudomonas azotoformans	产氮假单胞菌	11/21	232	23	0	2787	930	1	0	0	5	3613	0	0	2	0	0	143	0	0	1	0	1
Bacteria	Sphingomonas echinoides	刺状鞘氨醇单胞菌	19/21	534	381	4	1740	681	3	2	6	2	3745	12	1	2	2	139	369	0	0	1	15	23
Bacteria	Pseudomonas poae	草假单胞菌	8/21	207	28	0	2648	920	0	0	0	0	3657	0	0	0	0	41	134	0	0	0	0	5
Bacteria	Sphingomonas koreensis	韩国鞘氨醇单胞菌	20/21	544	389	7	1643	649	6	2	6	1	3655	11	2	7	3	196	405	1	0	2	19	28
Bacteria	Pseudomonas chlororaphis	绿针假单胞菌	9/21	203	27	0	2624	920	3	0	1	0	3598	0	0	0	0	39	120	0	0	0	0	0
Bacteria	Pseudomonas trivialis	平凡假单胞菌	10/21	173	26	5	2634	879	0	0	6	3	3418	0	0	0	0	24	140	0	0	0	0	0
Bacteria	Streptococcus oralis	口腔链球菌	9/21	5	0	0	9	1	6555	2	0	0	13	0	0	0	36	0	0	50	136	0	0	0
Bacteria	Ralstonia pickettii	皮氏罗尔斯顿菌	20/21	420	231	6	1594	580	6	1	1	3	3165	10	8	2	5	149	366	0	2	2	11	23
Bacteria	Sphingomonas hominis	鞘氨醇单胞菌属*	20/21	451	294	3	1415	642	4	4	4	3	3188	7	4	0	3	160	307	2	1	3	8	23
Bacteria	Pseudomonas stutzeri	司徒茨假单胞菌	11/21	271	41	2	840	928	0	0	3	2	4133	0	0	0	0	34	119	0	0	1	0	0
Bacteria	Pseudomonas putida	恶臭假单胞菌	10/21	168	18	0	2229	812	0	0	5	0	2984	3	0	0	0	26	105	0	0	0	1	0
Bacteria	Agrobacterium tumefaciens	放射根瘤菌	7/21	33	6	0	1174	37	0	0	0	0	5070	0	0	0	0	1	4	0	0	0	0	0
Bacteria	Pseudomonas reactans	假单胞菌属*	8/21	160	0	0	2292	734	0	0	0	2	2977	0	0	0	0	27	105	0	0	0	0	2
Bacteria	Pseudomonas yamanorum	雅马纳假单胞菌	7/21	169	29	0	2195	773	0	0	0	0	2921	0	0	0	0	25	124	0	0	0	0	0
Bacteria	Pseudomonas cremoris	假单胞菌属*	8/21	170	20	0	2206	700	0	0	0	2	2883	0	0	0	0	29	92	0	0	0	0	0
Bacteria	Pseudomonas syringae	洋丁香叶斑病假单胞菌	8/21	162	0	0	2086	789	0	0	0	0	2887	7	0	0	2	22	122	0	0	0	0	0
Bacteria	Pseudomonas kitaguniensis	假单胞菌属*	12/21	143	9	1	2118	763	4	1	3	4	2834	0	0	0	0	26	143	0	0	0	0	0
Bacteria	Pseudomonas lactis	假单胞菌属*	7/21	173	19	0	1993	803	0	0	0	0	2937	0	0	0	0	32	85	0	0	0	0	0
Bacteria	Pseudomonas canadensis	假单胞菌属*	7/21	155	18	0	2059	711	0	0	0	0	2933	0	0	0	0	31	106	0	0	0	0	0
Bacteria	Methylobacterium brachiatum	分枝甲基杆菌	9/21	14	10	0	21	18	0	0	0	4	5788	0	0	1	0	2	6	0	0	0	0	0
Bacteria	Acinetobacter guillouiae	吉洛不动杆菌	16/21	335	221	7	958	598	0	0	0	5	3156	6	1	2	2	116	266	0	0	3	8	24
Bacteria	Haemophilus parainfluenzae	副流感嗜血杆菌	8/21	2	0	0	5	3	5626	1	0	0	7	0	0	1	4	0	0	0	0	0	0	0
Bacteria	Pseudomonas mandelii	孟氏假单胞菌	11/21	140	13	0	2089	663	1	0	2	0	2616	0	0	0	0	19	97	0	0	2	1	0
Viruses	Human alphaherpesvirus 3	水痘带状疱疹病毒	1/21	0	0	0	5634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Streptococcus timonensis	链球菌属*	3/21	0	0	0	0	0	5548	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0
Bacteria	Pseudomonas gessardii	热氏假单胞菌	8/21	132	18	0	1988	667	0	0	2	0	2587	0	0	0	0	23	101	0	0	0	0	0
Bacteria	Gemella haemolysans	溶血孪生球菌	5/21	0	0	0	1	6	5435	0	0	0	26	0	0	3	0	0	0	0	0	0	0	0
Bacteria	Neisseria sicca	干燥奈瑟氏球菌	6/21	1	0	0	4	0	4866	0	0	0	26	0	0	0	167	0	0	0	397	0	0	0
Bacteria	Neisseria mucosa	黏液奈瑟菌	5/21	0	0	0	0	0	4409	0	0	0	9	0	0	4	770	0	0	0	49	0	0	0
Bacteria	Sphingomonas ginsenosidimutans	转化人参皂苷鞘氨醇单胞菌	19/21	377	260	6	1149	437	5	0	3	2	2524	8	1	4	1	155	262	0	3	2	8	17
Bacteria	Gemella sanguinis	血孪生球菌	2/21	0	0	0	0	0	5127	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Acidovorax avenae	燕麦噬酸菌	15/21	200	77	5	729	729	13	0	0	1	3160	1	1	2	0	53	108	0	1	0	0	7
Bacteria	Pseudomonas brenneri	布氏假单胞菌	6/21	118	14	0	1647	625	0	0	0	0	2458	0	0	0	0	0	80	0	0	0	0	0
Bacteria	Pseudomonas libanensis	黎巴嫩假单胞菌	8/21	145	10	0	1775	579	0	0	0	0	2314	2	0	0	0	23	75	0	0	0	0	0
Bacteria	Pseudomonas mucidolens	霉味假单胞菌	6/21	136	16	0	1747	597	4	0	0	0	2296	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas paralactis	假单胞菌属*	6/21	127	16	0	1720	558	0	0	0	0	2172	0	0	0	0	16	0	0	0	0	0	0
Eukaryota:Fungi	Chrysosporium queenslandicum	金孢霉属	8/21	69	23	0	270	320	2039	0	0	0	1819	0	0	0	0	12	47	0	0	0	0	0
Bacteria	Streptococcus sanguinis	血链球菌	6/21	1	0	0	1	1	4565	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0
Bacteria	Pseudomonas salomonii	萨氏假单胞菌	7/21	124	0	0	1623	576	2	0	0	0	2124	0	0	0	0	26	82	0	0	0	0	0
Bacteria	Neisseria flavescens	浅黄奈瑟氏菌	7/21	1	0	0	1	1	3843	1	0	0	7	0	0	0	660	0	0	0	0	0	0	0
Bacteria	Pseudomonas proteolytica	解朊假单胞菌	6/21	0	20	0	1641	513	0	0	0	0	2098	0	0	0	0	24	83	0	0	0	0	0
Bacteria	Veillonella atypica	非典型韦荣氏球菌	5/21	0	0	0	0	0	4114	0	0	0	13	0	0	0	111	0	1	0	12	0	0	0
Bacteria	Pseudomonas protegens	防御假单胞菌	5/21	129	0	1	1553	540	0	0	0	0	1982	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Sphingomonas adhaesiva	粘连鞘氨醇单胞菌	15/21	280	200	3	814	344	3	0	0	2	1889	7	0	5	3	74	172	0	0	0	8	13
Bacteria	Neisseria perflava	深黄奈瑟氏菌	3/21	0	0	0	0	0	3023	0	0	0	3	0	0	0	739	0	0	0	0	0	0	0
Bacteria	Corynebacterium striatum	纹带棒状杆菌	6/21	1	0	0	0	1	0	0	0	1	4	0	0	0	0	0	1	3728	0	0	0	0
Bacteria	Pseudomonas arsenicoxydans	假单胞菌属菌	11/21	95	5	0	1355	448	3	0	4	2	1691	0	0	0	0	13	62	0	0	0	0	1
Bacteria	Shewanella xiamenensis	厦门希瓦氏菌	9/21	72	7	0	192	180	0	0	0	0	3101	0	0	0	0	15	4	0	1	0	0	1
Bacteria	Gemella morbillorum	麻疹孪生球菌	4/21	3	0	0	0	0	3541	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0
Bacteria	Methylobacterium indicum	甲基杆菌属*	13/21	221	159	4	667	242	3	0	0	0	1936	0	0	1	0	77	140	0	3	0	10	8
Bacteria	Proteus penneri	彭氏变形杆菌	8/21	51	9	3	257	204	0	0	0	4	2916	0	0	0	0	0	0	0	0	1	0	0
Bacteria	Moraxella osloensis	奥斯陆莫拉菌	9/21	48	4	0	64	2921	0	0	5	0	383	0	0	0	0	9	4	0	0	0	0	1
Bacteria	Neisseria elongata	延长型奈瑟氏球菌	5/21	0	0	0	0	0	3368	0	0	0	12	0	0	0	49	0	1	0	1	0	0	0
Bacteria	Pseudomonas carnis	假单胞菌属*	6/21	85	8	0	1240	432	0	0	0	0	1547	0	0	0	0	0	47	0	0	0	0	0
Bacteria	Porphyromonas pasteri	卟啉单胞菌属*	3/21	0	0	0	0	0	2761	0	0	0	23	0	0	0	525	0	0	0	0	0	0	0
Bacteria	Sphingomonas aquatilis	水生鞘氨醇单胞菌	15/21	211	166	4	788	252	3	1	0	0	1534	0	4	4	0	84	159	2	0	0	10	17
Bacteria	Porphyromonas somerae	左血卟啉单胞菌	6/21	0	0	0	0	0	2672	2	0	0	23	0	0	3	439	0	0	0	4	0	0	0
Bacteria	Lactococcus cremoris	乳酸乳球菌	2/21	0	0	0	0	0	5	0	0	0	3135	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Methylobacterium organophilum	嗜有机物甲基杆菌	8/21	9	6	0	19	11	0	0	2	0	2751	0	0	0	0	4	4	0	0	0	0	0
Bacteria	Klebsiella pneumoniae	肺炎克雷伯菌	6/21	0	0	1	14	7	2554	0	0	0	27	0	0	0	0	0	2	0	0	0	0	0
Bacteria	Ralstonia mannitolilytica	解甘露醇罗尔斯顿菌	13/21	158	20	0	734	404	0	1	0	2	1005	1	36	0	0	25	127	0	0	0	2	1
Bacteria	Streptomyces cinereus	变灰链霉菌	7/21	33	0	0	43	2273	0	1	0	0	140	0	0	0	0	5	4	0	0	0	0	0
Bacteria	Pseudomonas psychrophila	嗜冷假单胞菌	6/21	55	0	0	912	268	0	0	0	0	1157	0	0	0	0	9	38	0	0	0	0	0
Bacteria	Pseudomonas umsongensis	阴城假单胞菌	6/21	55	5	0	791	284	0	0	0	0	1136	0	0	0	0	0	46	0	0	0	0	0
Bacteria	Pseudomonas gingeri	假单胞菌属*	4/21	67	0	0	899	278	0	0	0	0	1065	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas corrugata	波纹假单胞菌	6/21	51	0	0	794	284	0	0	0	0	1108	0	0	0	0	11	52	0	0	0	0	0
Bacteria	Delftia acidovorans	食酸戴尔福特菌	14/21	127	79	1	386	263	0	3	4	0	1298	0	1	1	0	26	62	0	0	0	2	4
Bacteria	Streptococcus pneumoniae	肺炎链球菌	8/21	2	1	0	5	35	2168	0	0	0	14	0	0	0	11	0	0	0	4	0	0	0
Bacteria	Prevotella pallens	普雷沃菌属菌	7/21	0	0	0	0	0	1709	8	0	0	18	0	0	6	430	0	0	11	2	0	0	0
Bacteria	Pseudomonas fuscovaginae	褐鞘假单胞菌	4/21	53	0	0	783	274	0	0	0	0	1046	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas migulae	米氏假单胞菌	7/21	50	5	0	722	244	0	0	0	0	1027	0	0	0	0	17	48	0	0	0	0	0
Bacteria	Methylobacterium radiotolerans	耐辐射甲基杆菌	10/21	17	7	0	56	24	0	0	1	2	1978	0	0	0	0	6	11	0	0	0	0	1
Bacteria	Neisseria meningitidis	脑膜炎奈瑟菌	5/21	0	0	0	0	16	1755	0	0	0	76	0	0	0	237	0	0	0	7	0	0	0
Bacteria	Megasphaera micronuciformis	小核桃形巨球形菌	3/21	0	0	0	0	0	1909	0	0	0	0	0	0	0	45	0	0	0	19	0	0	0
Bacteria	Pseudomonas fragi	莓实假单胞菌	5/21	0	0	0	716	240	0	0	0	0	960	0	0	0	0	12	35	0	0	0	0	0
Bacteria	Sphingomonas carotinifaciens	鞘氨醇单胞菌属*	10/21	98	96	4	412	173	0	0	0	0	891	2	0	0	0	41	106	0	0	0	0	4
Bacteria	Prevotella veroralis	真口腔普雷沃菌	6/21	0	0	0	2	0	1742	0	0	0	1	0	0	0	27	0	0	35	12	0	0	0
Bacteria	Methylobacterium soli	甲基杆菌属*	2/21	0	0	0	0	0	0	0	2	0	1794	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Campylobacter concisus	简要弯曲菌	4/21	0	0	0	0	0	1672	0	0	0	3	0	0	0	6	0	0	0	12	0	0	0
Bacteria	Pseudomonas moraviensis	莫氏假单胞菌	4/21	44	0	0	578	197	0	0	0	0	857	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Solobacterium moorei	莫氏细小杆菌	4/21	0	0	0	0	0	1589	0	0	0	0	0	0	1	82	0	0	0	1	0	0	0
Bacteria	Afipia broomeae	布氏阿菲波菌	6/21	14	0	0	119	58	0	1	0	0	1466	0	0	0	0	0	8	0	0	0	0	0
Bacteria	Mogibacterium diversum	新系难养杆菌	5/21	1	0	0	0	0	1626	0	0	0	9	0	0	0	20	0	0	0	2	0	0	0
Bacteria	Leptotrichia wadei	瓦迪纤毛菌	5/21	0	0	0	1	0	1607	0	0	0	2	0	0	0	7	0	0	0	1	0	0	0
Bacteria	Veillonella rogosae	韦荣球菌属菌	5/21	0	0	0	0	0	1573	0	0	0	9	0	0	1	3	0	1	0	0	0	0	0
Bacteria	Pseudomonas thivervalensis	赛维瓦尔假单胞菌	4/21	38	0	0	608	196	0	0	0	0	720	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Enterococcus casseliflavus	铅黄肠球菌	10/21	49	8	0	204	129	0	0	1	2	1111	0	0	0	0	12	13	0	0	0	0	1
Bacteria	Pseudomonas vranovensis	弗村假单胞菌	4/21	32	0	0	536	190	0	0	0	0	736	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas batumici	假单胞菌属*	4/21	0	4	0	596	0	0	0	0	0	851	0	0	0	0	0	40	0	0	0	0	0
Bacteria	Prevotella salivae	唾液普雷沃氏菌	5/21	0	0	0	0	0	1286	1	0	0	0	0	0	0	110	0	0	24	26	0	0	0
Bacteria	Streptococcus xiaochunlingii	链球菌属*	3/21	0	0	0	0	0	1421	0	0	0	0	0	0	0	7	0	0	0	3	0	0	0
Bacteria	Pseudomonas brassicacearum	油菜假单胞菌	5/21	42	0	0	520	177	0	0	0	0	652	0	0	0	0	0	36	0	0	0	0	0
Bacteria	Streptococcus salivarius	唾液链球菌	9/21	1	0	0	4	2	1389	0	0	0	5	0	0	0	7	1	3	0	15	0	0	0
Bacteria	Rothia aeria	罗氏菌属菌	7/21	0	0	0	2	3	1355	0	0	0	46	0	0	0	11	0	0	2	2	0	0	0
Bacteria	Pseudomonas prosekii	假单胞菌属菌	6/21	33	0	0	513	169	1	0	0	0	652	0	0	0	0	0	29	0	0	0	0	0
Bacteria	Sphingomonas abaci	桌鞘氨醇单胞菌	10/21	95	61	0	310	146	0	0	0	0	676	3	0	0	0	27	64	0	1	0	0	7
Bacteria	Prevotella nanceiensis	南锡普雷沃氏菌	7/21	0	0	0	1	1	160	1	0	0	0	0	0	1	168	0	0	1051	0	0	0	0
Bacteria	Rothia dentocariosa	龋齿罗氏菌	5/21	1	0	0	1	0	1329	0	0	0	5	0	0	0	0	0	0	0	30	0	0	0
Bacteria	Methylobacterium dankookense	甲基杆菌属*	1/21	0	0	0	0	0	0	0	0	0	1349	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas silesiensis	假单胞菌属菌	4/21	0	0	0	501	169	0	0	0	0	652	0	0	0	0	0	26	0	0	0	0	0
Bacteria	Pseudomonas mohnii	莫氏假单胞菌	4/21	30	0	0	505	155	0	0	0	0	647	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Sphingomonas sanxanigenens	胞外多聚物鞘氨醇单胞菌	15/21	86	69	0	293	97	3	1	0	0	677	1	1	1	0	35	52	1	0	1	0	6
Bacteria	Haemophilus sputorum	嗜血菌属*	2/21	0	0	0	1	0	1315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Methylorubrum extorquens	扭脱甲基杆菌	6/21	4	1	0	14	11	0	0	0	0	1283	0	0	0	0	0	2	0	0	0	0	0
Bacteria	Sphingomonas hankookensis	鞘氨醇单胞菌属*	13/21	78	72	2	273	137	2	1	0	0	653	2	0	0	0	31	58	0	0	0	2	3
Bacteria	Sphingomonas turrisvirgatae	鞘氨醇单胞菌属*	9/21	96	70	0	242	136	0	0	0	0	667	0	0	0	0	33	62	0	0	0	1	6
Bacteria	Pseudomonas asturiensis	假单胞菌属*	10/21	33	4	0	480	156	0	1	2	0	612	0	0	0	0	4	15	0	0	0	0	1
Bacteria	Pseudomonas moorei	莫尔氏假单胞菌	3/21	0	0	0	515	159	0	0	0	0	630	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas helleri	假单胞菌属*	6/21	33	0	0	396	202	0	0	0	0	621	0	0	0	0	9	18	0	0	0	0	0
Bacteria	Prevotella oris	口腔内普雷沃氏菌	7/21	0	0	0	2	1	281	0	0	0	11	0	0	0	59	0	0	902	3	0	0	0
